,Timestamp,Marker
0,9515.9504455,Experiment Start
1,9517.538141,Target B Start
2,9517.848959499,Target B End
3,9517.907763499,Goal B Start
4,9518.5252005,Goal B End
5,9518.7478135,Target C Start
6,9519.109035499,Target C End
7,9519.3148475,Goal C Start
8,9519.705471,Goal C End
9,9522.796857,Target C Start
10,9523.393292999,Target C End
11,9523.5193005,Goal C Start
12,9523.8301195,Goal C End
13,9526.320868999,Target B Start
14,9526.711492499,Target B End
15,9526.8627015,Goal B Start
16,9527.198722,Goal B End
17,9527.299527999,Target C Start
18,9527.690151499,Target C End
19,9527.862361999,Goal C Start
20,9528.173181,Goal C End
21,9535.362139,Target B Start
22,9535.893244999,Target B End
23,9535.995928,Goal B Start
24,9536.254466499,Goal B End
25,9536.514882499,Target C Start
26,9536.993710999,Target C End
27,9537.287728499,Goal C Start
28,9537.514542,Goal C End
29,9537.674151499,Target D Start
30,9538.2033835,Target D End
31,9538.556205,Goal D Start
32,9538.7830185,Goal D End
33,9539.673472499,Target B Start
34,9540.011382999,Target B End
35,9540.173302499,Goal B Start
36,9540.5135225,Goal B End
37,9541.773597999,Target D Start
38,9542.4792405,Target D End
39,9542.6892535,Goal D Start
40,9543.176482999,Goal D End
41,9543.260487999,Target A Start
42,9543.722515999,Target A End
43,9543.7519175,Goal A Start
44,9544.4449595,Goal A End
45,9544.486961499,Target B Start
46,9544.814581,Target B End
47,9544.915387,Goal B Start
48,9545.406816999,Goal B End
49,9548.731137999,Target B Start
50,9549.0148335,Target B End
51,9549.350854,Goal B Start
52,9549.594468499,Goal B End
53,9549.657472499,Target C Start
54,9550.182504,Target C End
55,9550.371515499,Goal C Start
56,9550.665532999,Goal C End
57,9550.77894,Target D Start
58,9551.358575,Target D End
59,9551.61059,Goal D Start
60,9551.7197965,Goal D End
61,9552.6354515,Target B Start
62,9553.198285499,Target B End
63,9553.4839025,Goal B Start
64,9553.702315999,Goal B End
65,9553.845124499,Target C Start
66,9554.1601435,Target C End
67,9554.292292,Goal C Start
68,9554.703918999,Goal C End
69,9557.070917999,Target B Start
70,9557.608551,Target B End
71,9557.650552999,Goal B Start
72,9557.885766999,Goal B End
73,9557.952971499,Target C Start
74,9558.423399999,Target C End
75,9558.5830095,Goal C Start
76,9558.8938275,Goal C End
77,9558.986233499,Target D Start
78,9559.465062499,Target D End
79,9559.6666745,Goal D Start
80,9560.044697499,Goal D End
81,9560.204306999,Target A Start
82,9560.540326999,Target A End
83,9560.5823295,Goal A Start
84,9560.859546499,Goal A End
85,9560.920314,Target B Start
86,9561.271171,Target B End
87,9561.348742,Goal B Start
88,9561.792002,Goal B End
89,9561.859206,Target C Start
90,9562.25403,Target C End
91,9562.5144455,Goal C Start
92,9562.766460999,Goal C End
93,9563.9929345,Target A Start
94,9564.42136,Target A End
95,9564.480164,Goal A Start
96,9564.8329855,Goal A End
97,9564.8875885,Target B Start
98,9565.261410999,Target B End
99,9565.4756235,Goal B Start
100,9565.769641499,Goal B End
101,9565.857846999,Target C Start
102,9566.160265,Target C End
103,9566.433281,Goal C Start
104,9566.895308999,Goal C End
105,9566.970913499,Target D Start
106,9567.369937499,Target D End
107,9567.693357,Goal D Start
108,9567.974773999,Goal D End
109,9569.024837,Target B Start
110,9569.478463999,Target B End
111,9569.554068999,Goal B Start
112,9569.940492499,Goal B End
113,9570.003495999,Target C Start
114,9570.402519999,Target C End
115,9570.524326999,Goal C Start
116,9570.973754499,Goal C End
117,9571.057759499,Target D Start
118,9571.469383999,Target D End
119,9571.906210499,Goal D Start
120,9572.032218,Goal D End
121,9572.137224,Target A Start
122,9572.4942455,Target A End
123,9572.511046499,Goal A Start
124,9572.989875499,Goal A End
125,9573.027678,Target B Start
126,9573.527507999,Target B End
127,9573.6241135,Goal B Start
128,9573.989536,Goal B End
129,9574.111343,Target C Start
130,9574.548169499,Target C End
131,9574.909391,Goal C Start
132,9575.148805,Goal C End
133,9575.2664125,Target D Start
134,9575.602432499,Target D End
135,9575.883849499,Goal D Start
136,9576.123264,Goal D End
137,9576.22407,Target A Start
138,9576.4592845,Target A End
139,9576.501286499,Goal A Start
140,9576.921312,Goal A End
141,9576.9801155,Target B Start
142,9577.244731499,Target B End
143,9577.309757999,Goal B Start
144,9577.731960999,Goal B End
145,9577.832766999,Target C Start
146,9578.3577985,Target C End
147,9578.488006499,Goal C Start
148,9578.962634499,Goal C End
149,9579.050839999,Target D Start
150,9579.424662499,Target D End
151,9579.592672499,Goal D Start
152,9580.243711499,Experiment End
153,9580.3571185,Goal D End
