,Timestamp,Marker
0,5434.951393999,Experiment Start
1,5437.204189,Target C Start
2,5437.477204499,Target C End
3,5437.565409,Goal C Start
4,5438.2584475,Goal C End
5,5441.375018499,Target B Start
6,5441.4926255,Target B End
7,5441.631232499,Goal B Start
8,5442.139460499,Goal B End
9,5442.2024645,Target C Start
10,5442.588885499,Target C End
11,5442.727493,Goal C Start
12,5443.517136499,Goal C End
13,5443.5927405,Target D Start
14,5443.995962999,Target D End
15,5444.1177695,Goal D Start
16,5444.785605999,Goal D End
17,5445.7726605,Target B Start
18,5445.970070999,Target B End
19,5446.003673,Goal B Start
20,5446.633708,Goal B End
21,5446.709311999,Target C Start
22,5446.894121999,Target C End
23,5447.011728499,Goal C Start
24,5447.805572,Goal C End
25,5447.906377999,Target D Start
26,5448.313799999,Target D End
27,5448.502809999,Goal D Start
28,5448.922833499,Goal D End
29,5451.598380499,Target C Start
30,5451.854594499,Target C End
31,5451.972201499,Goal C Start
32,5452.547632499,Goal C End
33,5455.8364135,Target B Start
34,5456.168231999,Target B End
35,5456.260636999,Goal B Start
36,5456.899072,Goal B End
37,5456.978876,Target C Start
38,5457.659314,Target C End
39,5457.743317999,Goal C Start
40,5458.402754499,Goal C End
41,5458.511960499,Target D Start
42,5459.280603,Target D End
43,5459.3772085,Goal D Start
44,5459.755229,Goal D End
45,5462.3173695,Target C Start
46,5462.7121915,Target C End
47,5462.8171975,Goal C Start
48,5463.3884285,Goal C End
49,5463.497634499,Target D Start
50,5464.421685499,Target D End
51,5464.522490999,Goal D Start
52,5465.0265185,Goal D End
53,5465.883366,Target A Start
54,5466.330057999,Target A End
55,5466.404194499,Goal A Start
56,5466.7150115,Goal A End
57,5466.790616,Target B Start
58,5466.996427,Target B End
59,5467.084632,Goal B Start
60,5467.60126,Goal B End
61,5467.655862999,Target C Start
62,5468.101087999,Target C End
63,5468.222894499,Goal C Start
64,5468.714320999,Goal C End
65,5468.7941255,Target D Start
66,5469.3317555,Target D End
67,5469.466162499,Goal D Start
68,5469.991191499,Goal D End
69,5470.0793965,Target A Start
70,5470.7766345,Target A End
71,5470.814436999,Goal A Start
72,5471.137854499,Goal A End
73,5471.2092585,Target B Start
74,5471.5578775,Target B End
75,5471.6250815,Goal B Start
76,5472.2257145,Goal B End
77,5472.704540499,Target C Start
78,5473.0993625,Target C End
79,5473.1749665,Goal C Start
80,5473.729397,Goal C End
81,5473.863804499,Target D Start
82,5474.1914225,Target D End
83,5474.309029,Goal D Start
84,5474.87606,Goal D End
85,5475.837913,Target A Start
86,5476.005922,Target A End
87,5476.035324,Goal A Start
88,5476.543552,Goal A End
89,5476.627556,Target B Start
90,5477.123184,Target B End
91,5477.291193,Goal B Start
92,5477.681814499,Goal B End
93,5483.448731499,Target C Start
94,5483.5957395,Target C End
95,5483.709145499,Goal C Start
96,5484.242575,Goal C End
97,5484.364381499,Target D Start
98,5484.792805,Target D End
99,5484.897811,Goal D Start
100,5485.502644,Goal D End
101,5485.6328515,Target A Start
102,5486.220884,Target A End
103,5486.250285,Goal A Start
104,5486.792115,Goal A End
105,5486.834117,Target B Start
106,5487.766568999,Target B End
107,5487.833771999,Goal B Start
108,5488.3083985,Goal B End
109,5488.808226,Target C Start
110,5489.06024,Target C End
111,5489.152645,Goal C Start
112,5489.786879499,Goal C End
113,5489.8708845,Target D Start
114,5490.4505165,Target D End
115,5490.589124,Goal D Start
116,5491.093151499,Goal D End
117,5491.235959499,Target A Start
118,5491.5845785,Target A End
119,5491.6391815,Goal A Start
120,5492.105407,Goal A End
121,5492.1852115,Target B Start
122,5492.323819,Target B End
123,5492.407823499,Goal B Start
124,5492.8992505,Goal B End
125,5493.579688499,Target C Start
126,5493.848503,Target C End
127,5493.966109499,Goal C Start
128,5494.4321285,Goal C End
129,5500.736673499,Target A Start
130,5500.997088,Target A End
131,5501.0516905,Goal A Start
132,5501.732127999,Goal A End
133,5501.786731,Target B Start
134,5501.916938,Target B End
135,5501.992541999,Goal B Start
136,5502.517571,Goal B End
137,5502.601575499,Target C Start
138,5502.86619,Target C End
139,5502.962794999,Goal C Start
140,5503.622230999,Goal C End
141,5503.760839,Target D Start
142,5504.008653,Target D End
143,5504.1556605,Goal D Start
144,5504.827697499,Goal D End
145,5508.490297999,Target D Start
146,5508.591103499,Target D End
147,5508.767512999,Goal D Start
148,5509.506753499,Goal D End
149,5511.338053999,Experiment End
